source_serial_no,gasoline_pct,ethanol_pct,pentanol_pct,propanol_pct,butanol_pct,n_methylaniline_pct,torque_nm,speed_rpm,compression_ratio,cv_mj_kg,air_fuel_ratio,viscosity_m2_s,ron,oxygen_pct,bte_pct,bsfc_g_kwh,co_vol_pct,hc_ppm,source_excel_row,quarantine_reason,composition_sum_original_pct,composition_sum_pct,blend_group
119.0,97.5,0.0,0.0,3.5,0.0,0.0,6.95,2900.0,7.5,41.716,14.52,7.35e-07,97.65,4.1355,12.256563093823843,705.8823529411764,1.4028,258.0,140,fuel_composition_not_within_99.99_to_100.01_pct,101.0,,
120.0,97.5,0.0,0.0,3.5,0.0,0.0,7.98,3300.0,7.5,41.716,15.43,7.35e-07,97.65,4.1355,13.62084313169842,642.4870466321244,2.0338,209.0,141,fuel_composition_not_within_99.99_to_100.01_pct,101.0,,
219.0,97.5,0.0,0.0,0.0,3.5,0.0,7.01,2900.0,7.5,41.776,14.3,7.68e-07,97.1,4.00975,12.269169138187047,704.7619047619047,1.4028,265.0,240,fuel_composition_not_within_99.99_to_100.01_pct,101.0,,
220.0,97.5,0.0,0.0,0.0,3.5,0.0,8.0,3300.0,7.5,41.776,15.92,7.68e-07,97.1,4.00975,13.546189287771165,643.9024390243903,2.0338,213.0,241,fuel_composition_not_within_99.99_to_100.01_pct,101.0,,
319.0,97.5,0.0,3.5,0.0,0.0,0.0,7.06,2900.0,7.5,43.061,15.26,7.77e-07,97.05,3.92375,12.884498979424254,673.076923076923,1.4238,365.0,340,fuel_composition_not_within_99.99_to_100.01_pct,101.0,,
320.0,97.5,0.0,3.5,0.0,0.0,0.0,8.0,3300.0,7.5,43.061,14.87,7.77e-07,97.05,3.92375,12.984477660050864,649.5726495726497,2.0547999999999997,264.0,341,fuel_composition_not_within_99.99_to_100.01_pct,101.0,,
381.0,98.5,0.0,1.5,0.0,1.5,0.0,1.98,1700.0,4.67,41.812,14.46,7.41e-07,97.31,3.89255,4.694998956666898,2118.64406779661,1.6289999999999998,687.0,402,fuel_composition_not_within_99.99_to_100.01_pct,101.5,,
382.0,98.5,0.0,1.5,0.0,1.5,0.0,4.02,2100.0,4.67,41.812,16.82,7.41e-07,97.31,3.89255,8.470560617653197,1223.140495867769,1.828,515.0,403,fuel_composition_not_within_99.99_to_100.01_pct,101.5,,
383.0,98.5,0.0,1.5,0.0,1.5,0.0,6.04,2500.0,4.67,41.812,15.68,7.41e-07,97.31,3.89255,10.91375025457828,875.7062146892656,2.032,502.0,404,fuel_composition_not_within_99.99_to_100.01_pct,101.5,,
384.0,98.5,0.0,1.5,0.0,1.5,0.0,7.02,2900.0,4.67,41.812,15.26,7.41e-07,97.31,3.89255,11.21937604422029,783.0687830687831,2.235,365.0,405,fuel_composition_not_within_99.99_to_100.01_pct,101.5,,
