property,fold,mae,rmse,r2
cv_mj_kg,1,1.9930781427722764,3.152692249420896,0.26331814263727993
air_fuel_ratio,1,0.6006905122655054,1.0399435096458356,0.5145449259153547
viscosity_m2_s,1,4.088898777692902e-07,6.436719387578783e-07,0.6707740859830084
ron,1,1.2657823189880404,2.2917759221668463,-0.0935569435947825
oxygen_pct,1,1.995666533613444,4.068272126617847,0.4216712259522629
cv_mj_kg,2,0.7945119599354489,1.2648654031807263,0.8012530145755169
air_fuel_ratio,2,0.3390962354638811,0.5594469926392595,0.8062255517285692
viscosity_m2_s,2,2.790647313470832e-07,4.5760329268854906e-07,0.7948537538487896
ron,2,1.6161229097700465,3.8261740289672317,-4.492464912997241
oxygen_pct,2,0.7071838651218046,1.6520057667806551,0.8677076888234784
cv_mj_kg,3,1.4957062982769074,2.2611104098322024,0.36827844229256446
air_fuel_ratio,3,0.4649328197945895,0.7512919155429874,0.49516535195584754
viscosity_m2_s,3,4.884381249469456e-07,7.353866371881493e-07,0.4811698188350605
ron,3,3.220810330192744,5.215350492150009,0.5863699349424467
oxygen_pct,3,0.5428962702656717,0.6859083929647113,0.9823202925218371
cv_mj_kg,4,0.939535739750508,1.466831388513702,0.7667797196331914
air_fuel_ratio,4,0.4302877790510248,0.63140118118077,0.7726780696741956
viscosity_m2_s,4,2.949797385620901e-07,4.2920047570626023e-07,0.8111249992824703
ron,4,1.8948172481114653,3.718454310200456,0.6474982459006706
oxygen_pct,4,0.3123310417197142,0.4091381119482065,0.9918175332601114
cv_mj_kg,5,1.456300016976528,2.0976029330627273,0.6229836113951572
air_fuel_ratio,5,0.3925848060436197,0.7346295952943057,0.6993951761306774
viscosity_m2_s,5,3.7141603004838085e-07,6.176050948073014e-07,0.6264430770223783
ron,5,1.4446106442576583,2.9236148411725726,-3.8664477277658795
oxygen_pct,5,1.1428911363636451,2.291671083514748,0.8512104771003669
